Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
sattarov;Эльмаз;y6HDnMzIAyUAet8ZvaUxUZ;Selâm-Nazlı;scripts/lyrics_sattarov/Эльмаз.txt;N;Selâm;Selâm;0.67;MEDIUM;NO;
sattarov;Xайырсыз;fv7jJf91xYRAjV2LdYGbjY;Seda-Hırsız;scripts/lyrics_sattarov/Xайырсыз.txt;N;Seda;Seda;0.67;MEDIUM;NO;
crh_lt;Jamala - EKİ ÇEŞME;UDQPBbeMvh8u2R3WDV8eVm;Jamala-Верше мій, верше;scripts/lyrics_crh_lt/Jamala - EKİ ÇEŞME.txt;N;Jamala;Jamala;0.75;MEDIUM;NO;
crh_lt;Elnara Küçük - İmkân ber;YhrYXZDFzOn9UHKOQPfVC5;Elnara Küçük-Bu közler;scripts/lyrics_crh_lt/Elnara Küçük - İmkân ber.txt;N;Elnara Küçük;Elnara Küçük;0.62;MEDIUM;YES;2/2
crh_lt;Jamala - NOĞAY BEYİTLERY;97TfULUQlhDHjt1KnDjaFU;Jamala-One More Try;scripts/lyrics_crh_lt/Jamala - NOĞAY BEYİTLERY.txt;N;Jamala;Jamala;0.7;MEDIUM;NO;
crh_lt;Jamala - QARANFİL;U8hT8zJhcddu4wrza0d09E;Anara-Üç qaranfil;scripts/lyrics_crh_lt/Jamala - QARANFİL.txt;N;Anara;Anara;0.77;MEDIUM;NO;
crh_lt;Jamala - Way To Home;mPF01ePQVQDiwVqSPHL10y;Jamala-In My Shoes;scripts/lyrics_crh_lt/Jamala - Way To Home.txt;N;Jamala;Jamala;0.79;MEDIUM;YES;1/2
crh_lt;Jamala - YOSMAM;mPF01ePQVQDiwVqSPHL10y;Jamala-In My Shoes;scripts/lyrics_crh_lt/Jamala - YOSMAM.txt;N;Jamala;Jamala;0.77;MEDIUM;YES;2/2
crh_lt;Elvina Yuldaşeva - Yosmam;aPpCV8IKjtVGrqiKCqExsw;Elvina Yuldaşeva-Vokaliz;scripts/lyrics_crh_lt/Elvina Yuldaşeva - Yosmam.txt;N;Elvina Yuldaşeva;Elvina Yuldaşeva;0.74;MEDIUM;NO;
crh_lt;Fevzi Aliyev - Kırımdaki çadırlar;Fk7YNBi7GmFi016cStgOcy;Fevzi Aliyev-Ay, dağlar;scripts/lyrics_crh_lt/Fevzi Aliyev - Kırımdaki çadırlar.txt;N;Destan (Fevzi Aliyev);Destan (Fevzi Aliyev);0.69;MEDIUM;YES;2/2
crh_lt;Elvira Sarıhalil - On Birinci Ayadañ;2ygJMm2BDTDsOD8UAZulqV;Elvira Sarıhalil-Qayadan endim;scripts/lyrics_crh_lt/Elvira Sarıhalil - On Birinci Ayadañ.txt;N;Elvira Sarıhalil;Elvira Sarıhalil;0.77;MEDIUM;YES;2/2
crh_lt;Jamala - HEM SEVERSİÑ, HEM SEVMEZSİÑ;0kZWWYs36eG1X75LdlLhgD;Jamala-For Every Heart;scripts/lyrics_crh_lt/Jamala - HEM SEVERSİÑ, HEM SEVMEZSİÑ.txt;N;Jamala;Jamala;0.62;MEDIUM;NO;
crh_lt;Jamala - BAHAR KELSE;EFqrDwEvcJi77xOXQi4dtD;Jamala-Alas;scripts/lyrics_crh_lt/Jamala - BAHAR KELSE.txt;N;Jamala;Jamala;0.74;MEDIUM;YES;2/4
crh_lt;Jamala - ÇALBAŞ BORA;EFqrDwEvcJi77xOXQi4dtD;Jamala-Alas;scripts/lyrics_crh_lt/Jamala - ÇALBAŞ BORA.txt;N;Jamala;Jamala;0.74;MEDIUM;YES;3/4
