Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Elzara Batalova - Bizim taraf,4QcWVGcP3dew714b2ybYhf,Elzara Batalova-Bizim taraf,Elzara Batalova,Elzara Batalova,1.08,HIGH,NO,,scripts/lyrics_crh_lt/Elzara Batalova - Bizim taraf.txt
crh_lt,Asiye Saale - Ağla meni (Su qayadan süzülür),a4bZFa2gzDTujQleaYSyje,Asiye Saale - Agla meni (Su qayadan suzulur),Asiye Saale,Asiye Saale,1.00,HIGH,NO,,scripts/lyrics_crh_lt/Asiye Saale - Ağla meni (Su qayadan süzülür).txt
crh_lt,Unknown - Uzaq Yoldan,lOzKGdWHd3lyQtaRlXEH8q,Zarema Şirinskaya-Uzaq yoldan,Zarema Şirinskaya,Zarema Şirinskaya,0.55,LOW,NO,,scripts/lyrics_crh_lt/Unknown - Uzaq Yoldan.txt
crh_lt,Elzara Batalova - Qarşıdan fener kelir,GgPwRw9CqeuDasTSzDeTmR,Elzara Batalova-Qarşıdan fener kelir (Minareler tübünde),Elzara Batalova,Elzara Batalova,0.86,HIGH,NO,,scripts/lyrics_crh_lt/Elzara Batalova - Qarşıdan fener kelir.txt
crh_lt,Bekir Çoban-Zade - Til Ükü,PrD4hZs1dVwL6KLlcXPiF6,Dilâver Osmanov-Badem terek,Dilâver Osmanov,Dilâver Osmanov,0.49,LOW,NO,,scripts/lyrics_crh_lt/Bekir Çoban-Zade - Til Ükü.txt
crh_lt,Reyana Kadırova - Arnavutlar eker baqla,SBJvQhtJ4i974yvgdMnQW7,Reyana Kadırova-Arnavutlar eker baqla,Reyana Kadırova,Reyana Kadırova,1.09,HIGH,NO,,scripts/lyrics_crh_lt/Reyana Kadırova - Arnavutlar eker baqla.txt
crh_lt,Memet Niyazi - Tatar Barmı Dep Sorağanlarğa,sLQWLgXvfwa7kHzj5nRF0d,"Gülizar Ümerova (Uzunlar, 1915)-Tatar barmı dep kim soray (halq icrası)",Halq icrası,Halq icrası,0.55,LOW,NO,,scripts/lyrics_crh_lt/Memet Niyazi - Tatar Barmı Dep Sorağanlarğa.txt
crh_lt,Anonim qırım - Чалашым,8lUBJzKuEhMEDFwmzn0sNt,Qırım - Mataylar,Qırım,Qırım,0.63,MEDIUM,NO,,scripts/lyrics_crh_lt/Anonim qırım - Чалашым.txt
crh_lt,Raziye Seytablayeva - Ana Vatanım,Br05gLjwIdtg0NVyS4xd1b,Raziye Seytablayeva-Anam,Raziye Seytablayeva,Raziye Seytablayeva,0.95,HIGH,NO,,scripts/lyrics_crh_lt/Raziye Seytablayeva - Ana Vatanım.txt
crh_lt,The Lord's Prayer - Бизим Коклердеки Бабамыз,zvkar3WqNeMdIF1EbMQssu,Elnara Küçük-Közleri aldatmaz,Elnara Küçük,Elnara Küçük,0.46,LOW,NO,,scripts/lyrics_crh_lt/The Lord's Prayer - Бизим Коклердеки Бабамыз.txt
